Report Refresh Date,Site Id,Site URL,Owner Display Name,Is Deleted,Last Activity Date,File Count,Active File Count,Storage Used (Byte),Storage Allocated (Byte),Owner Principal Name,Report Period
2025-10-13,00000000-0000-0000-0000-000000000000,,91FD8BCBFCA56B87235BCBEF28380B4A,False,2025-10-13,434,18,116041647,1099511627776,A03BA39D00E188D0156D4480D1177D9F,30
2025-10-13,00000000-0000-0000-0000-000000000000,,986AE4612E651CF265F7E7B571F34F6C,False,,143,0,35104050,1099511627776,B436EB3BB009909E8B815FB48AB04833,30
2025-10-13,00000000-0000-0000-0000-000000000000,,2E117AD57E8C4C0FFA3C762C6A87150A,False,2025-10-13,1357,13,336231323,1099511627776,444D60FA868DBC5D9EB6CBBA33B968C0,30
2025-10-13,00000000-0000-0000-0000-000000000000,,BC039C563064AC17FE563A448FC8F360,False,2025-10-13,655,20,533884600,1099511627776,505CAB3546244C40672DA015A01CA2F3,30
2025-10-13,00000000-0000-0000-0000-000000000000,,F3A00DC9450D816FECB3C2E4C4D59CAE,False,,19,0,1633943,1099511627776,A04A03B7F16CB564EC6243E73A7A9F0E,30
2025-10-13,00000000-0000-0000-0000-000000000000,,7B0B72D11DBE7655C6F7E4BC63AB9755,False,2025-10-13,1,4,129351,1099511627776,DF706E18CAE7F2548520DC1FE2439EB7,30
2025-10-13,00000000-0000-0000-0000-000000000000,,08215980B0CBA8F3DC006A6494B60CC9,False,,0,0,127107,1099511627776,DB8984368E87924AE40F655D00A4C433,30
2025-10-13,00000000-0000-0000-0000-000000000000,,2540A83BEE9BCB0D5BEC21D7261EEFEB,False,2025-10-13,124,14,48814411,1099511627776,4398CE6E21882E313DAEAB20B71040FB,30
2025-10-13,00000000-0000-0000-0000-000000000000,,05F9037829C59A0BB398106BB5384684,False,2025-09-29,2,2,1337985,1099511627776,028367B34C365FD94697B23EE0996204,30
2025-10-13,00000000-0000-0000-0000-000000000000,,DB21B98431BADC9C1993E2ECB7AB63A5,False,2025-10-10,307,2,9307401,1099511627776,87037451952A19155C8F7E795361558B,30
2025-10-13,00000000-0000-0000-0000-000000000000,,278458B3C713CD9840D1062E41BB6637,False,2025-10-13,436,3,75440147,1099511627776,427679D5F48973078637931C0DE1DF24,30
2025-10-13,00000000-0000-0000-0000-000000000000,,A3F6B3A7EF90BA62BEC3FCEC89C6B206,False,2025-10-13,2,4,265887,1099511627776,D91359FFF1AFF691D311481D504B2E98,30
2025-10-13,00000000-0000-0000-0000-000000000000,,D950A7C29005DF799DF42E5C1C16E0D1,False,2025-10-08,22,16,4384338,1099511627776,5EA729B88DE734626D38F5484D24A608,30
2025-10-13,00000000-0000-0000-0000-000000000000,,9C4B046A8F4A46216B2DC9BD976812FE,False,2025-10-13,30,3,12311794,1099511627776,7C4D929D5BE35F18ED73FC86740AEBF2,30
2025-10-13,00000000-0000-0000-0000-000000000000,,D026516B3489028DE812CD1ED23AEF7C,False,2025-10-01,0,1,126709,1099511627776,A660A668552D437D2060BBA53F7374F0,30
2025-10-13,00000000-0000-0000-0000-000000000000,,876C80A3B3786D846827848F6B3A193E,False,2025-07-23,0,0,128023,1099511627776,0F1AE54856529D48CBA2BE5F59539186,30
2025-10-13,00000000-0000-0000-0000-000000000000,,16A98AE2AD56FC2FBFC3894B4B89D6AE,False,,59,0,35403256,1099511627776,73FC050310C2326B71BC79AFB85591C4,30
2025-10-13,00000000-0000-0000-0000-000000000000,,940AF171042891849E3A8B5B33A95201,False,2025-10-08,322,8,11575790,1099511627776,286E07AE7434D85D85724CFC5C4CDA5C,30
2025-10-13,00000000-0000-0000-0000-000000000000,,9BCC8360AB36A52D09341282FFABA1F6,False,2025-10-13,813,23,284566120,1099511627776,C5F5CB94F1C1D12D5321C9E502BE64C6,30
2025-10-13,00000000-0000-0000-0000-000000000000,,3FD291389C41D94E6C9424315699A85E,False,2025-08-13,399,0,145002121,1099511627776,BCA8E35DB43B5C00271299F62D3DE7C6,30
2025-10-13,00000000-0000-0000-0000-000000000000,,49688FD6C3F18FD440BC3BDF28EB941F,False,2025-10-03,264,2,20655410,1099511627776,3747D833209EB50343F0656A05352018,30
2025-10-13,00000000-0000-0000-0000-000000000000,,8F4A69833315291CA3D1C54322E5B051,False,,4446,0,3327578032,1099511627776,770F5886BCE609BF5AAEB90E353E0C44,30
2025-10-13,00000000-0000-0000-0000-000000000000,,6A7F62C043CF12A8BDA6C27F63FBEDF3,False,2025-10-01,49,1,5845667,1099511627776,BCCBEA223902B62AB7AA8D594B536931,30
2025-10-13,00000000-0000-0000-0000-000000000000,,C4C479F596DD716C77D7C29F00482391,False,,140,0,29353428,1099511627776,1EC6EA7A68224CFF78FA57F5E6747EDD,30
2025-10-13,00000000-0000-0000-0000-000000000000,,E7E67FD96A2BA2DC9BE5E4BAB8ABFBC6,False,2025-10-11,6,3,628480,1099511627776,663D0E6B1C2948B6ECFB86F0B1D065DB,30
2025-10-13,00000000-0000-0000-0000-000000000000,,905E077B5B8D7DAC3FB5E2A8D8F5DE9A,False,,308,0,10553577,1099511627776,48931A51EB437D925ED073232C278342,30
2025-10-13,00000000-0000-0000-0000-000000000000,,40EEA20D7B52F448AB89DEF1768FD337,False,,65,0,147791752,1099511627776,1F2AFE93A66C2F4B23D9701A9584D283,30
2025-10-13,00000000-0000-0000-0000-000000000000,,8D8BC93BA9B72786EDB278C198919289,False,,1,0,156684,1099511627776,096BDBE89A8C00C2C556A6962AE647BA,30
2025-10-13,00000000-0000-0000-0000-000000000000,,04313B6FDDDF21CCF0A8A15F35A368C2,False,2025-10-07,393,9,110354432,1099511627776,A766A420661C6E648A417E52887E4E1A,30
2025-10-13,00000000-0000-0000-0000-000000000000,,76D6C03C4B97F6037730D8A9179637E7,False,,19,0,975536,1099511627776,0DD979B18D70F787F91ED5BA1974C249,30
2025-10-13,00000000-0000-0000-0000-000000000000,,81B0E81EFF44BF27A3A17BB6D2CBFD78,False,2025-09-30,10,1,2215497,1099511627776,6029F31607D2675AE97664E6A4E2F7E0,30
2025-10-13,00000000-0000-0000-0000-000000000000,,76F87BC79994DCD5F6CD007118F059A3,False,2025-10-09,187,187,230511414,1099511627776,76D8C399B4403620E86AC2CC671DBDC4,30
2025-10-13,00000000-0000-0000-0000-000000000000,,C0542ADAE652B4101C55E0B2AF87749D,False,2025-10-13,3,115,267793,1099511627776,06ECA98BC11F3FE157779071C4448538,30
2025-10-13,00000000-0000-0000-0000-000000000000,,99E8A18B36DC35959D9F7E22E0DA1EF8,False,,0,0,128022,1099511627776,AA14E761DFC6A9739B84B222E5871899,30
2025-10-13,00000000-0000-0000-0000-000000000000,,5D79984B09C56EDE2EB6C5557AEBD461,False,,4,0,242486,1099511627776,4A742ECB12BED078D7DA2594E30C5A44,30
2025-10-13,00000000-0000-0000-0000-000000000000,,259AC37FD4FC061BB228026C5758FD44,False,,0,0,128172,1099511627776,064FD875854EBE001E9CA36ECB3F4960,30
2025-10-13,00000000-0000-0000-0000-000000000000,,8A0266F23767B7FFBF3A609CC99427FB,False,,0,0,127760,1099511627776,6250DB571604A38D0C3BE3A4277FF068,30
2025-10-13,00000000-0000-0000-0000-000000000000,,26120CBD4739107507117583EC0B9870,False,2025-10-13,2238,447,2391216662,1099511627776,B2737701B41220FC25B394744FECA78B,30
2025-10-13,00000000-0000-0000-0000-000000000000,,E13180684F2F3189917EAE9AFF5F01AD,False,,15,0,478531,1099511627776,8A27354AA934B0790C6441D85C5986B1,30
2025-10-13,00000000-0000-0000-0000-000000000000,,B1EBB88347B12CE0216DF955F051C5F3,False,,1080,0,236174842,1099511627776,33C5A107633625B5E6F0A7E4096047C5,30
2025-10-13,00000000-0000-0000-0000-000000000000,,C31B4F6136B50F87D430373A95A9BF81,False,2025-10-13,44,13,16104908,1099511627776,69091127FAC7C7C1495235D8DB49CD48,30
2025-10-13,00000000-0000-0000-0000-000000000000,,CF9F53271805213D988F76BDB0B1D0AD,False,,373,0,30071648,1099511627776,97B4952D5618A6BC9E623C3852518F47,30
2025-10-13,00000000-0000-0000-0000-000000000000,,C8B0C2DCFCE3BAD2F7A80FCE345D486F,False,,560,0,60931972,1099511627776,CF3FD92721AC7817B8FC0E2493479148,30
