"ObjectName";"Id";"Type";"Property";"Value1";"Value2";"Match"
"Win - OIB - ES - Attack Surface Reduction - D - ASR Rules (Audit Mode) - v3.1";"1bc83909-93d9-4891-a6a3-5c103ba8e89b";"Settings Catalog";;;"Win - OIB - ES - Attack Surface Reduction - D - ASR Rules (Audit Mode) - v3.1";"False"
"Win - OIB - ES - Attack Surface Reduction - D - ASR Rules (L2) - v3.3";"7dfa8454-8c39-41e0-86ca-e6456c027be2";"Settings Catalog";;;"Win - OIB - ES - Attack Surface Reduction - D - ASR Rules (L2) - v3.3";"False"
"Win - OIB - ES - Defender Antivirus - D - AV Configuration - v3.3";"c5b3e83c-e9e9-4e09-9256-3a898b709ebf";"Settings Catalog";;;"Win - OIB - ES - Defender Antivirus - D - AV Configuration - v3.3";"False"
"Win - OIB - ES - Defender Antivirus - D - Security Experience - v3.3";"2085390b-9191-4a1d-aec0-9d5ac21bd8a6";"Settings Catalog";;;"Win - OIB - ES - Defender Antivirus - D - Security Experience - v3.3";"False"
"Win - OIB - ES - Defender Antivirus Updates - Ring 1 - Pilot - v3.4";"33849971-7e74-425f-8246-ac34b9ddcf38";"Settings Catalog";;;"Win - OIB - ES - Defender Antivirus Updates - Ring 1 - Pilot - v3.4";"False"
"Win - OIB - ES - Defender Antivirus Updates - Ring 2 - UAT - v3.4";"5bffa89e-c746-4b49-8781-230f5f995284";"Settings Catalog";;;"Win - OIB - ES - Defender Antivirus Updates - Ring 2 - UAT - v3.4";"False"
"Win - OIB - ES - Defender Antivirus Updates - Ring 3 - Production - v3.4";"4ced48b5-c66c-4a13-b9a8-bd37882cb8aa";"Settings Catalog";;;"Win - OIB - ES - Defender Antivirus Updates - Ring 3 - Production - v3.4";"False"
"Win - OIB - ES - Encryption - D - BitLocker (OS Disk) - v3.0";"16c73d84-c3bd-4145-b0b5-a57bd3273ca1";"Settings Catalog";;;"Win - OIB - ES - Encryption - D - BitLocker (OS Disk) - v3.0";"False"
"Win - OIB - ES - Encryption - U - Personal Data Encryption - v3.4";"2f0561c1-3213-4a52-8cd3-c1fbf7a99685";"Settings Catalog";;;"Win - OIB - ES - Encryption - U - Personal Data Encryption - v3.4";"False"
"Win - OIB - ES - Windows Firewall - D - Firewall Configuration - v3.1";"15ebc35d-e671-4bc9-8638-b9320f27de1e";"Settings Catalog";;;"Win - OIB - ES - Windows Firewall - D - Firewall Configuration - v3.1";"False"
