"DisplayName","PrimarySmtpAddress","Identity","RecipientTypeDetails","Before_RequireSenderAuthEnabled","After_RequireSenderAuthEnabled","ChangedInThisRun","Mode","TimestampUtc"
"Claymont MAT Efax","claymontmatefax@coraswellness.org","Claymont MAT Efax20250928042415","MailUniversalDistributionGroup","True","False","True","Applied","10/3/2025 2:38:59 PM"
"Claymont Nurse Group","ClaymontNurseGroup@coraswellness.org","Claymont Nurse Group","MailUniversalDistributionGroup","True","False","True","Applied","10/3/2025 2:38:59 PM"
"Claymont Transfer Group","claymonttransfergroup@coraswellness.org","Claymont Transfer Group20250928042627","MailUniversalDistributionGroup","True","False","True","Applied","10/3/2025 2:38:59 PM"
"Coras Billing","CorasBilling@coraswellness.org","Coras Billing","MailUniversalDistributionGroup","True","False","True","Applied","10/3/2025 2:38:59 PM"
"Coras Clinic Directors","CorasClinicDirectors@coraswellness.org","Coras Clinic Directors20250928042911","MailUniversalDistributionGroup","True","False","True","Applied","10/3/2025 2:38:59 PM"
"CORAS Credentialing","corascredentialing@coraswellness.org","CORAS Credentialing","MailUniversalDistributionGroup","True","True","True","Applied","10/3/2025 2:38:59 PM"
"Coras Front Desk","CorasFrontDesk@coraswellness.org","Coras Front Desk","MailUniversalDistributionGroup","True","False","True","Applied","10/3/2025 2:38:59 PM"
"CORAS Incidents","incidents@coraswellness.org","CORAS Incidents","MailUniversalDistributionGroup","True","False","True","Applied","10/3/2025 2:38:59 PM"
"CORAS MAT Intake Info","corasmatintakeinfo@coraswellness.org","CORAS MAT Intake Info20250911171212","MailUniversalDistributionGroup","False","False","False","Applied","10/3/2025 2:38:59 PM"
"CORAS Nurse Practitioners","coraspractitioners@coraswellness.org","CORAS Nurse Practitioners","MailUniversalDistributionGroup","True","False","True","Applied","10/3/2025 2:38:59 PM"
"CORAS Physicians","corasphysicians@coraswellness.org","CORAS Physicians","MailUniversalDistributionGroup","True","False","True","Applied","10/3/2025 2:38:59 PM"
"CORAS Therapists","corastherapists@coraswellness.org","CORAS Therapists","MailUniversalDistributionGroup","True","False","True","Applied","10/3/2025 2:38:59 PM"
"CORAS Voicemail","corasvm@coraswellness.org","CORAS Voicemail","MailUniversalDistributionGroup","True","False","True","Applied","10/3/2025 2:38:59 PM"
"CORASDosingVerification","corasdosing@coraswellness.org","CORASDosingVerification","MailUniversalDistributionGroup","False","False","False","Applied","10/3/2025 2:38:59 PM"
"Dover Clinicians","doverclinicians@coraswellness.org","Dover Clinicians","MailUniversalDistributionGroup","True","False","True","Applied","10/3/2025 2:38:59 PM"
"Dover Efax 1","doverefax1@coraswellness.org","Dover Efax 1","MailUniversalDistributionGroup","True","False","True","Applied","10/3/2025 2:38:59 PM"
"Dover Nurse Group","DoverNurseGroup@coraswellness.org","Dover Nurse Group","MailUniversalDistributionGroup","True","False","True","Applied","10/3/2025 2:38:59 PM"
"Dover Nursing EFax","dovernursingefax@coraswellness.org","Dover Nursing EFax","MailUniversalDistributionGroup","True","False","True","Applied","10/3/2025 2:38:59 PM"
"Dover RC","doverrc@coraswellness.org","Dover RC","MailUniversalDistributionGroup","True","False","True","Applied","10/3/2025 2:38:59 PM"
"Dover Transfer Group","DoverTransferGroup@coraswellness.org","Dover Transfer Group","MailUniversalDistributionGroup","True","False","True","Applied","10/3/2025 2:38:59 PM"
"DSAMH CORAS","dsamhinvoicescoras@coraswellness.org","DSAMH CORAS","MailUniversalDistributionGroup","True","False","True","Applied","10/3/2025 2:38:59 PM"
"Employee Changes","EmployeeChanges@coraswellness.org","Employee Changes","MailUniversalDistributionGroup","True","False","True","Applied","10/3/2025 2:38:59 PM"
"FamilyTherapy","familytherapy@coraswellness.org","FamilyTherapy","MailUniversalDistributionGroup","True","False","True","Applied","10/3/2025 2:38:59 PM"
"Grievances Coras Forwarding","GrievancesCorasForwarding@coraswellness.org","Grievances Coras Forwarding","MailUniversalDistributionGroup","True","False","True","Applied","10/3/2025 2:38:59 PM"
"Harrington Clinicians","harringtonclinicians@coraswellness.org","Harrington Clinicians","MailUniversalDistributionGroup","True","False","True","Applied","10/3/2025 2:38:59 PM"
"Harrington EFax","harringtonefax@coraswellness.org","Harrington EFax","MailUniversalDistributionGroup","True","False","True","Applied","10/3/2025 2:38:59 PM"
"Harrington Efax 2","harringtonefax2@coraswellness.org","Harrington Efax 2","MailUniversalDistributionGroup","True","False","True","Applied","10/3/2025 2:38:59 PM"
"Harrington Nurse Group","HarringtonNurseGroup@coraswellness.org","Harrington Nurse Group","MailUniversalDistributionGroup","True","False","True","Applied","10/3/2025 2:38:59 PM"
"Harrington Transfer Group","HarringtonTransferGroup@coraswellness.org","Harrington Transfer Group","MailUniversalDistributionGroup","True","False","True","Applied","10/3/2025 2:38:59 PM"
"HarringtonRC","harringtonrc@coraswellness.org","HarringtonRC","MailUniversalDistributionGroup","True","False","True","Applied","10/3/2025 2:38:59 PM"
"Hrteams@coraswellness.org","hrteams@coraswellness.org","Hrteams@coraswellness.org","MailUniversalDistributionGroup","True","False","True","Applied","10/3/2025 2:38:59 PM"
"Info","Info@coraswellness.org","Info","MailUniversalDistributionGroup","True","False","True","Applied","10/3/2025 2:38:59 PM"
"Marketing Coras Wellness","Marketing@coraswellness.org","Marketing Coras Wellness","MailUniversalDistributionGroup","True","False","True","Applied","10/3/2025 2:38:59 PM"
"Millsboro Clinicians","millsboroclinicians@coraswellness.org","Millsboro Clinicians","MailUniversalDistributionGroup","True","False","True","Applied","10/3/2025 2:38:59 PM"
"Millsboro Efax","millsboroefax@coraswellness.org","Millsboro Efax","MailUniversalDistributionGroup","True","False","True","Applied","10/3/2025 2:38:59 PM"
"Millsboro Nurse Group","MillsboroNurseGroup@coraswellness.org","Millsboro Nurse Group","MailUniversalDistributionGroup","True","False","True","Applied","10/3/2025 2:38:59 PM"
"Millsboro Nursing Efax","millsboronurseefax@coraswellness.org","Millsboro Nursing Efax","MailUniversalDistributionGroup","True","False","True","Applied","10/3/2025 2:38:59 PM"
"MillsboroRC","millsbororc@coraswellness.org","MillsboroRC","MailUniversalDistributionGroup","True","False","True","Applied","10/3/2025 2:38:59 PM"
"Newark Admin Fax","newarkfaxadmin@coraswellness.org","Newark Admin Fax","MailUniversalDistributionGroup","True","False","True","Applied","10/3/2025 2:38:59 PM"
"Newark Clinicians","newarkclinicians@coraswellness.org","Newark Clinicians","MailUniversalDistributionGroup","True","False","True","Applied","10/3/2025 2:38:59 PM"
"Newark Front Desk Fax","newarkfaxfds@coraswellness.org","Newark Front Desk Fax","MailUniversalDistributionGroup","True","False","True","Applied","10/3/2025 2:38:59 PM"
"Newark MAT Faxes","newarkfaxmat@coraswellness.org","Newark MAT Faxes","MailUniversalDistributionGroup","True","False","True","Applied","10/3/2025 2:38:59 PM"
"Newark Medical Faxes","newarkfaxmedical@coraswellness.org","Newark Medical Faxes","MailUniversalDistributionGroup","True","False","True","Applied","10/3/2025 2:38:59 PM"
"Newark Mental Health Faxes","newarkfaxmh@coraswellness.org","Newark Mental Health Faxes","MailUniversalDistributionGroup","True","False","True","Applied","10/3/2025 2:38:59 PM"
